,STATE OR UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls 
0,ANDHRA PRADESH,ANANTAPUR,2015,32,57,12,325,8,276,0
1,ANDHRA PRADESH,CHITTOOR,2015,31,20,10,94,1,202,0
2,ANDHRA PRADESH,CUDDAPAH,2015,34,17,6,211,82,317,0
3,ANDHRA PRADESH,EAST GODAVARI,2015,104,25,13,574,150,522,0
4,ANDHRA PRADESH,GUNTAKAL RAILWAY,2015,1,0,0,0,0,0,0
5,ANDHRA PRADESH,GUNTUR,2015,67,42,13,298,338,483,0
6,ANDHRA PRADESH,GUNTUR URBAN,2015,34,68,11,159,217,333,0
7,ANDHRA PRADESH,KRISHNA,2015,77,19,17,422,200,575,0
8,ANDHRA PRADESH,KURNOOL,2015,40,34,19,479,557,400,0
9,ANDHRA PRADESH,NELLORE,2015,69,64,5,314,132,422,0
10,ANDHRA PRADESH,PRAKASHAM,2015,67,44,10,276,12,427,0
11,ANDHRA PRADESH,RAJAHMUNDRY,2015,29,16,1,120,56,207,0
12,ANDHRA PRADESH,SRIKAKULAM,2015,47,28,6,119,21,214,0
13,ANDHRA PRADESH,TIRUPATHI URBAN,2015,20,16,7,40,22,106,0
14,ANDHRA PRADESH,VIJAYAWADA CITY,2015,53,26,11,196,123,181,0
15,ANDHRA PRADESH,VIJAYAWADA RAILWAY,2015,2,0,1,7,8,0,0
16,ANDHRA PRADESH,VISAKHA RURAL,2015,39,23,3,107,43,128,0
17,ANDHRA PRADESH,VISAKHAPATNAM,2015,87,126,7,257,9,383,0
18,ANDHRA PRADESH,VIZIANAGARAM,2015,34,11,5,191,91,282,0
19,ANDHRA PRADESH,WEST GODAVARI,2015,160,48,17,427,130,663,0
20,ANDHRA PRADESH,TOTAL DISTRICT(S),2015,1027,684,174,4616,2200,6121,0
21,ARUNACHAL PRADESH,ANJAW,2015,0,0,0,0,0,0,0
22,ARUNACHAL PRADESH,CHANGLANG,2015,5,7,0,5,0,4,0
23,ARUNACHAL PRADESH,CRIME BRANCH,2015,1,0,0,0,0,0,0
24,ARUNACHAL PRADESH,DIBANG VALLEY,2015,0,0,0,1,0,0,0
25,ARUNACHAL PRADESH,KAMENG EAST,2015,4,1,0,7,0,0,0
26,ARUNACHAL PRADESH,KAMENG WEST,2015,1,3,0,5,0,1,0
27,ARUNACHAL PRADESH,KURUNG KUMEY,2015,2,3,0,0,0,0,0
28,ARUNACHAL PRADESH,LOHIT,2015,6,21,0,12,0,4,0
29,ARUNACHAL PRADESH,LONGDING,2015,0,0,0,0,0,0,0
30,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2015,1,6,0,3,0,0,0
31,ARUNACHAL PRADESH,PAPUM PARE CITY,2015,17,62,0,25,2,30,0
32,ARUNACHAL PRADESH,PAPUM PARE RURAL,2015,1,2,0,2,0,1,0
33,ARUNACHAL PRADESH,SIANG EAST,2015,10,9,0,15,0,8,0
34,ARUNACHAL PRADESH,SIANG UPPER,2015,1,1,0,3,0,2,0
35,ARUNACHAL PRADESH,SIANG WEST,2015,12,6,0,6,0,4,0
36,ARUNACHAL PRADESH,SUBANSIRI LOWER,2015,6,0,0,2,0,3,0
37,ARUNACHAL PRADESH,SUBANSIRI UPPER,2015,1,1,0,11,0,8,0
38,ARUNACHAL PRADESH,TAWANG,2015,0,0,0,1,0,1,0
39,ARUNACHAL PRADESH,TIRAP,2015,2,6,0,2,0,0,0
40,ARUNACHAL PRADESH,SIANG,2015,1,0,0,1,0,0,0
41,ARUNACHAL PRADESH,TOTAL DISTRICT(S),2015,71,128,0,101,2,66,0
42,ASSAM,B I E O,2015,0,0,0,0,0,0,0
43,ASSAM,BARPETA,2015,124,373,22,461,20,1503,0
44,ASSAM,BAKSA,2015,46,128,4,96,4,78,0
45,ASSAM,BONGAIGAON,2015,37,131,14,15,0,175,0
46,ASSAM,C I D,2015,0,0,0,0,0,0,0
47,ASSAM,CACHAR,2015,59,234,8,70,0,597,0
48,ASSAM,CHIRANG,2015,18,44,3,27,4,106,0
49,ASSAM,DARRANG,2015,77,198,10,502,0,432,0
50,ASSAM,DHEMAJI,2015,34,44,6,94,3,139,0
51,ASSAM,DHUBRI,2015,158,399,19,434,1,911,0
52,ASSAM,DIBRUGARH,2015,29,184,3,84,0,380,0
53,ASSAM,G R P,2015,0,4,0,4,0,0,0
54,ASSAM,GOALPARA,2015,84,62,3,238,0,691,0
55,ASSAM,GOLAGHAT,2015,56,167,5,120,0,292,0
56,ASSAM,GUWAHATI CITY,2015,80,651,12,239,59,677,0
57,ASSAM,HAILAKANDI,2015,90,89,4,203,3,279,0
58,ASSAM,HAMREN,2015,10,16,0,0,0,33,0
59,ASSAM,JORHAT,2015,53,176,5,161,13,292,0
60,ASSAM,KAMRUP,2015,82,207,12,139,0,416,0
61,ASSAM,KARBI ANGLONG,2015,37,68,2,20,0,38,0
62,ASSAM,KARIMGANJ,2015,65,136,13,246,0,242,0
63,ASSAM,KOKRAJHAR,2015,32,98,2,122,0,223,0
64,ASSAM,LAKHIMPUR,2015,69,182,10,74,0,377,0
65,ASSAM,MORIGAON,2015,86,182,2,146,0,414,0
66,ASSAM,DIMA HASAO,2015,5,16,0,5,0,3,0
67,ASSAM,NAGAON,2015,95,328,19,105,0,890,0
68,ASSAM,NALBARI,2015,36,102,3,43,1,188,0
69,ASSAM,R P O,2015,8,3,0,3,0,11,0
70,ASSAM,S T F,2015,0,0,0,0,0,0,0
71,ASSAM,SIBSAGAR,2015,35,290,2,249,0,331,0
72,ASSAM,SONITPUR,2015,43,136,10,28,0,503,0
73,ASSAM,TINSUKIA,2015,27,14,2,42,0,185,0
74,ASSAM,UDALGURI,2015,22,63,4,30,0,76,0
75,ASSAM,SADIA,2015,10,6,0,4,0,14,0
76,ASSAM,MAJULI,2015,5,6,0,14,0,19,0
77,ASSAM,BISWANATH,2015,34,106,3,28,0,212,0
78,ASSAM,HOJAI,2015,44,138,7,117,3,295,0
79,ASSAM,SOUTH SALMARA,2015,43,58,7,130,0,203,0
80,ASSAM,TOTAL DISTRICT(S),2015,1733,5039,216,4293,111,11225,0
81,BIHAR,ARARIA,2015,50,81,23,0,0,60,0
82,BIHAR,ARWAL,2015,10,28,15,10,1,38,0
83,BIHAR,AURANGABAD,2015,21,46,45,1,0,95,0
84,BIHAR,BAGAHA,2015,12,68,13,5,0,40,0
85,BIHAR,BANKA,2015,11,76,16,0,0,63,0
86,BIHAR,BEGUSARAI,2015,24,134,30,0,0,71,0
87,BIHAR,BETTIAH,2015,37,155,17,0,0,52,0
88,BIHAR,BHABHUA,2015,20,64,20,0,0,70,0
89,BIHAR,BHAGALPUR,2015,33,185,23,30,0,117,0
90,BIHAR,BHOJPUR,2015,12,89,43,6,0,0,0
91,BIHAR,BUXAR,2015,14,63,26,6,0,82,0
92,BIHAR,DARBHANGA,2015,35,217,26,0,8,201,0
93,BIHAR,GAYA,2015,26,196,54,0,0,147,0
94,BIHAR,GOPALGANJ,2015,13,135,34,0,0,168,0
95,BIHAR,JAMALPUR RAILWAY,2015,0,0,0,3,0,0,0
96,BIHAR,JAMUI,2015,10,40,10,28,0,73,0
97,BIHAR,JEHANABAD,2015,15,54,23,1,0,34,0
98,BIHAR,KATIHAR,2015,66,147,10,0,0,76,0
99,BIHAR,KATIHAR RAILWAY,2015,0,1,0,0,0,0,0
100,BIHAR,KHAGARIA,2015,18,80,16,2,0,74,0
101,BIHAR,KISHANGANJ,2015,59,89,11,8,0,73,0
102,BIHAR,LAKHISARAI,2015,10,38,7,0,0,18,0
103,BIHAR,MADHEPURA,2015,20,79,12,0,0,42,0
104,BIHAR,MADHUBANI,2015,47,202,31,1,0,217,0
105,BIHAR,MOTIHARI,2015,23,251,79,1,0,154,0
106,BIHAR,MUNGER,2015,8,43,7,6,0,43,0
107,BIHAR,MUZAFFARPUR,2015,37,208,53,5,0,244,0
108,BIHAR,MUZAFFARPUR RAILWAY,2015,4,6,0,4,0,1,0
109,BIHAR,NALANDA,2015,29,193,54,2,0,195,0
110,BIHAR,NAUGACHIA,2015,5,32,7,19,4,13,0
111,BIHAR,NAWADAH,2015,27,106,29,0,0,37,0
112,BIHAR,PATNA,2015,82,644,104,11,83,474,0
113,BIHAR,PATNA RAILWAY,2015,1,5,1,20,0,0,0
114,BIHAR,PURNEA,2015,44,111,16,0,0,54,0
115,BIHAR,ROHTAS,2015,29,108,41,3,0,68,0
116,BIHAR,SAHARSA,2015,19,86,3,0,0,49,0
117,BIHAR,SAMASTIPUR,2015,34,183,34,0,0,102,0
118,BIHAR,SARAN,2015,29,222,73,1,0,58,0
119,BIHAR,SHEIKHPURA,2015,1,24,13,17,0,28,0
120,BIHAR,SHEOHAR,2015,5,25,4,6,0,18,0
121,BIHAR,SITAMARHI,2015,22,180,14,0,0,196,0
122,BIHAR,SIWAN,2015,21,136,41,0,0,38,0
123,BIHAR,SUPAUL,2015,22,99,14,2,0,72,0
124,BIHAR,VAISHALI,2015,36,229,62,0,0,137,0
125,BIHAR,ECONOMIC OFFENCES UNIT,2015,0,0,0,0,0,0,0
126,BIHAR,ANTI TERRORIST SQUAD,2015,0,0,0,0,0,0,0
127,BIHAR,TOTAL DISTRICT(S),2015,1041,5158,1154,198,96,3792,0
128,CHHATTISGARH,BALOD,2015,37,32,4,50,1,13,0
129,CHHATTISGARH,BALODBAZAR,2015,60,83,4,90,1,16,0
130,CHHATTISGARH,BALRAMPUR,2015,98,14,3,65,1,24,0
131,CHHATTISGARH,BEMETRA,2015,24,29,3,44,2,12,0
132,CHHATTISGARH,BILASPUR,2015,93,144,6,204,1,47,0
133,CHHATTISGARH,BIZAPUR,2015,9,12,0,4,0,4,0
134,CHHATTISGARH,DANTEWARA,2015,9,8,0,10,0,2,0
135,CHHATTISGARH,DHAMTARI,2015,35,13,0,39,2,6,0
136,CHHATTISGARH,DURG,2015,112,125,1,226,8,84,0
137,CHHATTISGARH,GARIYABAND,2015,46,17,0,25,1,13,0
138,CHHATTISGARH,G R P RAIPUR,2015,0,2,1,8,1,0,0
139,CHHATTISGARH,JAGDALPUR,2015,58,50,2,28,0,10,0
140,CHHATTISGARH,JANJGIR,2015,54,79,20,112,6,42,0
141,CHHATTISGARH,JASHPUR,2015,98,57,0,44,0,3,0
142,CHHATTISGARH,KABIRDHAM,2015,29,35,1,72,0,20,0
143,CHHATTISGARH,KANKER,2015,56,31,2,36,3,24,0
144,CHHATTISGARH,KONDAGAON,2015,29,21,0,24,0,7,0
145,CHHATTISGARH,KORBA,2015,67,51,7,64,3,36,0
146,CHHATTISGARH,KORIYA,2015,68,41,1,75,2,34,0
147,CHHATTISGARH,MAHASAMUND,2015,43,48,2,76,5,15,0
148,CHHATTISGARH,MUNGALI,2015,19,38,1,42,1,15,0
149,CHHATTISGARH,NARAYANPUR,2015,5,7,0,0,0,0,0
150,CHHATTISGARH,RAIGARH,2015,122,75,16,98,6,48,0
151,CHHATTISGARH,RAIPUR,2015,198,205,8,205,7,70,0
152,CHHATTISGARH,RAJNANDGAON,2015,49,73,4,87,1,28,0
153,CHHATTISGARH,SARGUJA,2015,82,14,0,76,0,6,0
154,CHHATTISGARH,SUKMA,2015,5,5,0,6,0,1,0
155,CHHATTISGARH,SURAJPUR,2015,55,45,3,58,1,40,0
156,CHHATTISGARH,TOTAL DISTRICT(S),2015,1560,1354,89,1868,53,620,0
157,GOA,NORTH GOA,2015,49,43,0,86,9,4,0
158,GOA,SOUTH GOA,2015,34,27,0,57,24,12,0
159,GOA,C I D,2015,3,0,0,7,1,3,0
160,GOA,TOTAL DISTRICT(S),2015,86,70,0,150,34,19,0
161,GUJARAT,AHMEDABAD CITY,2015,59,243,1,152,2,595,0
162,GUJARAT,AHMEDABAD RURAL,2015,10,6,2,21,0,73,0
163,GUJARAT,AMRELI,2015,8,48,0,17,2,131,0
164,GUJARAT,ANAND,2015,22,96,0,41,3,99,0
165,GUJARAT,ARVALLI,2015,13,15,0,18,0,50,0
166,GUJARAT,BANASKANTHA,2015,37,89,1,54,1,188,0
167,GUJARAT,BHARUCH,2015,12,24,0,41,0,93,0
168,GUJARAT,BHAVNAGAR,2015,8,27,1,34,4,104,0
169,GUJARAT,BOTAD,2015,1,25,1,18,0,20,0
170,GUJARAT,CHHOTAUDEPUR,2015,12,6,0,12,0,19,0
171,GUJARAT,C I D CRIME,2015,0,0,0,0,0,0,0
172,GUJARAT,DAHOD,2015,23,53,0,38,0,137,0
173,GUJARAT,DANG,2015,2,0,0,6,2,7,0
174,GUJARAT,DEVBHUMI DWARKA,2015,5,11,0,3,1,42,0
175,GUJARAT,GANDHINAGAR,2015,7,22,0,26,16,123,0
176,GUJARAT,GIR SOMNATH,2015,6,14,0,27,2,122,0
177,GUJARAT,JAMNAGAR,2015,11,36,1,20,1,169,0
178,GUJARAT,JUNAGADH,2015,6,25,0,19,3,212,0
179,GUJARAT,KACHCHH EAST(G),2015,28,35,0,35,0,48,0
180,GUJARAT,KACHCHH WEST(B),2015,16,8,1,30,3,70,0
181,GUJARAT,KHEDA,2015,11,73,0,22,1,73,0
182,GUJARAT,MAHISAGAR,2015,6,19,0,13,0,46,0
183,GUJARAT,MEHSANA,2015,17,81,0,39,0,180,0
184,GUJARAT,MORBI,2015,8,21,0,8,1,58,0
185,GUJARAT,NARMADA,2015,1,5,0,9,0,13,0
186,GUJARAT,NAVSARI,2015,4,25,0,13,0,42,0
187,GUJARAT,PANCHMAHAL,2015,7,16,0,28,0,66,0
188,GUJARAT,PATAN,2015,16,16,0,42,0,72,0
189,GUJARAT,PORBANDAR,2015,3,11,0,12,0,72,0
190,GUJARAT,RAJKOT CITY,2015,19,74,0,35,2,204,0
191,GUJARAT,RAJKOT RURAL,2015,10,60,0,32,0,163,0
192,GUJARAT,SABARKANTHA,2015,3,19,0,33,3,176,0
193,GUJARAT,SURAT CITY,2015,43,143,1,50,1,260,0
194,GUJARAT,SURAT RURAL,2015,8,43,1,13,0,41,0
195,GUJARAT,SURENDRANAGAR,2015,21,36,2,26,1,57,0
196,GUJARAT,TAPI,2015,10,9,0,13,24,8,0
197,GUJARAT,VADODARA CITY,2015,15,45,0,104,0,232,0
198,GUJARAT,VADODARA RURAL,2015,3,17,0,15,0,36,0
199,GUJARAT,VALSAD,2015,11,69,0,37,0,31,0
200,GUJARAT,WRLY AHMEDABAD,2015,0,0,0,0,0,0,0
201,GUJARAT,WRLY VADODARA,2015,1,4,0,8,0,1,0
202,GUJARAT,TOTAL DISTRICT(S),2015,503,1569,12,1164,73,4133,0
203,HARYANA,AMBALA (RURAL),2015,3,26,7,18,0,36,0
204,HARYANA,AMBALA (URBAN),2015,22,51,3,24,0,49,0
205,HARYANA,BHIWANI,2015,44,36,18,94,0,147,0
206,HARYANA,FARIDABAD,2015,128,313,24,123,0,371,0
207,HARYANA,FATEHABAD,2015,21,31,3,63,2,155,0
208,HARYANA,G R P,2015,1,0,4,18,0,0,0
209,HARYANA,GURGAON,2015,130,295,12,183,37,268,0
210,HARYANA,HISSAR,2015,55,52,13,118,4,360,0
211,HARYANA,JHAJJAR,2015,60,27,5,70,5,153,0
212,HARYANA,JIND,2015,31,52,13,73,1,116,0
213,HARYANA,KAITHAL,2015,29,97,11,61,0,102,0
214,HARYANA,KARNAL,2015,54,248,15,94,1,235,0
215,HARYANA,KURUKSHETRA,2015,26,53,9,88,1,145,0
216,HARYANA,MAHENDERGARH,2015,32,50,10,100,4,71,0
217,HARYANA,MEWAT,2015,59,55,8,58,3,98,0
218,HARYANA,PALWAL,2015,36,52,22,87,1,158,0
219,HARYANA,PANCHKULA,2015,24,116,2,34,4,62,0
220,HARYANA,PANIPAT,2015,47,86,9,95,2,195,0
221,HARYANA,REWARI,2015,56,49,9,71,17,119,0
222,HARYANA,ROHTAK,2015,54,277,14,190,2,193,0
223,HARYANA,SIRSA,2015,52,48,5,58,3,168,0
224,HARYANA,SONIPAT,2015,62,57,20,94,3,168,0
225,HARYANA,YAMUNANAGAR,2015,44,265,7,72,0,156,0
226,HARYANA,IRRIGATION AND POWER,2015,0,0,0,0,0,0,0
227,HARYANA,TOTAL DISTRICT(S),2015,1070,2336,243,1886,90,3525,0
228,HIMACHAL PRADESH,BADDI,2015,7,12,0,19,1,15,0
229,HIMACHAL PRADESH,BILASPUR,2015,15,23,0,45,13,12,0
230,HIMACHAL PRADESH,CHAMBA,2015,26,20,1,28,0,10,0
231,HIMACHAL PRADESH,C I D,2015,0,0,0,0,0,0,0
232,HIMACHAL PRADESH,G R P,2015,0,0,0,0,0,0,0
233,HIMACHAL PRADESH,HAMIRPUR,2015,6,10,0,34,9,11,0
234,HIMACHAL PRADESH,KANGRA,2015,46,35,0,60,11,39,0
235,HIMACHAL PRADESH,KINNAUR,2015,8,5,0,4,0,3,0
236,HIMACHAL PRADESH,KULLU,2015,23,11,0,19,4,14,0
237,HIMACHAL PRADESH,LAHAUL AND SPITI,2015,3,0,0,0,1,0,0
238,HIMACHAL PRADESH,MANDI,2015,29,38,0,84,5,25,0
239,HIMACHAL PRADESH,SHIMLA,2015,24,36,0,46,7,26,0
240,HIMACHAL PRADESH,SIRMAUR,2015,31,20,0,52,2,17,0
241,HIMACHAL PRADESH,SOLAN,2015,8,12,0,18,2,10,0
242,HIMACHAL PRADESH,UNA,2015,18,17,1,25,3,44,0
243,HIMACHAL PRADESH,TOTAL DISTRICT(S),2015,244,239,2,434,58,226,0
244,JAMMU AND KASHMIR,ANANTNAG,2015,20,77,0,135,0,25,0
245,JAMMU AND KASHMIR,AWANTIPORA,2015,6,23,0,28,0,4,0
246,JAMMU AND KASHMIR,BANDIPORA,2015,4,33,0,27,13,3,0
247,JAMMU AND KASHMIR,BARAMULLA,2015,6,72,0,85,20,12,0
248,JAMMU AND KASHMIR,BUDGAM,2015,13,62,1,45,5,8,0
249,JAMMU AND KASHMIR,CRIME JAMMU,2015,0,0,0,0,0,1,0
250,JAMMU AND KASHMIR,CRIME SRINAGAR,2015,0,0,0,0,0,0,0
251,JAMMU AND KASHMIR,DODA,2015,9,27,0,26,5,3,0
252,JAMMU AND KASHMIR,GANDERBAL,2015,0,31,0,61,0,6,0
253,JAMMU AND KASHMIR,HANDWARA,2015,2,35,0,56,5,3,0
254,JAMMU AND KASHMIR,JAMMU,2015,51,202,3,111,33,92,0
255,JAMMU AND KASHMIR,KARGIL,2015,1,1,0,1,1,1,0
256,JAMMU AND KASHMIR,KATHUA,2015,20,51,0,53,4,17,0
257,JAMMU AND KASHMIR,KISHTWAR,2015,12,10,0,10,0,6,0
258,JAMMU AND KASHMIR,KULGAM,2015,9,34,0,120,6,6,0
259,JAMMU AND KASHMIR,KUPWARA,2015,14,48,0,49,7,10,0
260,JAMMU AND KASHMIR,LEH,2015,4,2,0,1,0,0,0
261,JAMMU AND KASHMIR,POONCH,2015,14,25,0,31,0,11,0
262,JAMMU AND KASHMIR,PULWAMA,2015,5,33,0,28,10,1,0
263,JAMMU AND KASHMIR,RAILWAYS JAMMU,2015,0,0,0,1,0,0,0
264,JAMMU AND KASHMIR,RAILWAYS KASHMIR,2015,0,0,0,0,0,0,0
265,JAMMU AND KASHMIR,RAILWAYS KATRA,2015,0,0,0,0,0,0,0
266,JAMMU AND KASHMIR,RAJOURI,2015,34,61,0,63,7,42,0
267,JAMMU AND KASHMIR,RAMBAN,2015,11,18,0,24,6,15,0
268,JAMMU AND KASHMIR,REASI,2015,15,26,0,20,4,8,0
269,JAMMU AND KASHMIR,SAMBA,2015,4,13,2,10,4,9,0
270,JAMMU AND KASHMIR,SHOPIAN,2015,8,26,0,45,0,4,0
271,JAMMU AND KASHMIR,SOPORE,2015,9,39,0,67,0,6,0
272,JAMMU AND KASHMIR,SRINAGAR,2015,12,103,0,223,37,91,0
273,JAMMU AND KASHMIR,UDHAMPUR,2015,13,19,0,23,8,16,0
274,JAMMU AND KASHMIR,TOTAL DISTRICT(S),2015,296,1071,6,1343,175,400,0
275,JHARKHAND,BOKARO,2015,97,123,14,0,0,260,0
276,JHARKHAND,CHAIBASA,2015,59,49,5,20,0,17,0
277,JHARKHAND,CHATRA,2015,24,35,16,19,0,34,0
278,JHARKHAND,DEOGHAR,2015,44,78,25,40,5,195,0
279,JHARKHAND,DHANBAD,2015,40,80,9,128,0,45,0
280,JHARKHAND,DHANBAD RAILWAY,2015,1,4,0,11,0,0,0
281,JHARKHAND,DUMKA,2015,46,34,13,26,4,48,0
282,JHARKHAND,GARHWA,2015,48,29,17,38,0,53,0
283,JHARKHAND,GIRIDIH,2015,45,57,35,238,0,116,0
284,JHARKHAND,GODDA,2015,30,17,6,0,0,82,0
285,JHARKHAND,GUMLA,2015,56,29,2,16,0,21,0
286,JHARKHAND,HAZARIBAGH,2015,57,53,22,62,0,53,0
287,JHARKHAND,JAMSHEDPUR,2015,68,79,14,53,0,129,0
